seed,subcase,fp32_accuracy,int8_accuracy,change
42,ln_conjunction,62.4,59.1,-3.3
42,ln_passive,0.3,0.1,-0.2
42,ln_preposition,59.0,53.3,-5.7
42,ln_relative_clause,47.8,43.3,-4.5
42,ln_subject/object_swap,44.5,38.7,-5.8
123,ln_conjunction,47.1,41.4,-5.7
123,ln_passive,1.3,0.5,-0.8
123,ln_preposition,63.4,57.6,-5.8
123,ln_relative_clause,54.1,46.5,-7.6
123,ln_subject/object_swap,61.6,52.1,-9.5
456,ln_conjunction,34.4,29.0,-5.4
456,ln_passive,0.0,0.0,0.0
456,ln_preposition,32.1,26.9,-5.2
456,ln_relative_clause,24.1,21.2,-2.9
456,ln_subject/object_swap,4.3,1.9,-2.4
